2025-05-08,NEAR,NEAR,156460509,2767120929.909633,2.284913372539231,0,0
2025-05-07,NEAR,NEAR,144885775,2820096914.6991625,2.3291230786412447,0,0
2025-05-06,NEAR,NEAR,144078512,2803325268.7630405,2.3164569559856054,0,0
2025-05-05,NEAR,NEAR,144173682,2811489018.3244977,2.3235406985786105,0,0
2025-05-04,NEAR,NEAR,148361129,2937360914.3360214,2.426043412107072,0,0
2025-05-03,NEAR,NEAR,151801995,3033552683.954678,2.5087548510729434,0,0
2025-05-02,NEAR,NEAR,154879118,3072239098.34425,2.5411555954016767,0,0
2025-05-01,NEAR,NEAR,150955695,2978359254.780774,2.462843070891977,0,0
2025-04-30,NEAR,NEAR,153873531,3054423999.507605,2.5295275274294813,0,0
2025-04-29,NEAR,NEAR,155795218,3139651156.87206,2.595275672119853,0,0
2025-04-28,NEAR,NEAR,152101737,3011065153.899533,2.491431747535148,0,0
2025-04-27,NEAR,NEAR,157028534,3168098689.337338,2.6236517442693037,0,0
2025-04-26,NEAR,NEAR,157413088,3163781974.654561,2.617553903851681,0,0
2025-04-25,NEAR,NEAR,153781752,3066446144.7683096,2.5390175211716355,0,0
2025-04-24,NEAR,NEAR,151862358,2984014402.64604,2.4693916598652432,0,0
2025-04-23,NEAR,NEAR,148037779,2903218970.820463,2.402900495241956,0,0
2025-04-22,NEAR,NEAR,138819232,2666464118.924783,2.214344031853888,0,0
2025-04-21,NEAR,NEAR,139529600,2703669325.894286,2.2402437872704017,0,0
2025-04-20,NEAR,NEAR,138927856,2631327319.833137,2.180256626410953,0,0
2025-04-19,NEAR,NEAR,133334921,2478496431.9405365,2.055140625450244,0,0
2025-04-18,NEAR,NEAR,132888309,2471945018.4282355,2.048917907687506,0,0
2025-04-17,NEAR,NEAR,129586929,2370160271.08191,1.9662907830993783,0,0
2025-04-16,NEAR,NEAR,132460335,2450620235.303941,2.033151606984956,0,0
2025-04-15,NEAR,NEAR,136050485,2543305854.379639,2.1095793850627,0,0
2025-04-14,NEAR,NEAR,135080677,2519819310.725427,2.094971394749824,0,0
2025-04-13,NEAR,NEAR,139412042,2656374294.6794133,2.211380975764895,0,0
2025-04-12,NEAR,NEAR,134372776,2509582050.106262,2.0901692370165224,0,0
2025-04-11,NEAR,NEAR,130132392,2412814440.461508,2.007838761721911,0,0
2025-04-10,NEAR,NEAR,131404818,2517262778.9027696,2.0974446713342845,0,0
2025-04-09,NEAR,NEAR,124045695,2284539484.650487,1.9053186656644048,0,0
2025-04-08,NEAR,NEAR,133553040,2547784986.332122,2.121350393450211,0,0
2025-04-07,NEAR,NEAR,134781088,2580935740.995838,2.155528334668376,0,0
2025-04-06,NEAR,NEAR,146968957,2931795017.702501,2.447281990140777,0,0
2025-04-05,NEAR,NEAR,150038455,3004258806.2678275,2.505047079209442,0,0
2025-04-04,NEAR,NEAR,149815521,3015647767.771123,2.508392691842651,0,0
2025-04-03,NEAR,NEAR,149776213,2939648458.2708163,2.4532105038169543,0,0
2025-04-02,NEAR,NEAR,157643080,3176621301.3623333,2.6512084595544065,0,0
2025-04-01,NEAR,NEAR,152120674,3011733835.030837,2.513309955601512,0,0
2025-03-31,NEAR,NEAR,155861916,3099969990.310182,2.588987664114433,0,0
2025-03-30,NEAR,NEAR,154063987,3071273976.716875,2.5657101382694045,0,0
2025-03-29,NEAR,NEAR,160601838,3273748931.6740546,2.7339207171780617,0,0
2025-03-28,NEAR,NEAR,172937329,3607392319.970357,3.010629614341886,0,0
2025-03-27,NEAR,NEAR,172753916,3573331206.245646,2.987445818359789,0,0
2025-03-26,NEAR,NEAR,173847089,3625072403.84374,3.0276082198714094,0,0
2025-03-25,NEAR,NEAR,169284779,3482162492.588069,2.912678761423292,0,0
2025-03-24,NEAR,NEAR,162709076,3319010822.5074306,2.770230344490914,0,0
2025-03-23,NEAR,NEAR,163006013,3257847188.112428,2.7236051191251307,0,0
2025-03-22,NEAR,NEAR,162144733,3235776701.5272746,2.7079976581490555,0,0
2025-03-21,NEAR,NEAR,161496533,3275099015.164612,2.736655309008859,0,0
2025-03-20,NEAR,NEAR,165017600,3342976461.98298,2.795067515027247,0,0
2025-03-19,NEAR,NEAR,156056912,3097419835.8041244,2.589757099737634,0,0
2025-03-18,NEAR,NEAR,158620277,3155133085.0924683,2.638994328441624,0,0
2025-03-17,NEAR,NEAR,152029836,3011744144.4395065,2.5212885476741422,0,0
2025-03-16,NEAR,NEAR,157538775,3162314578.237317,2.644349238000307,0,0
2025-03-15,NEAR,NEAR,151227079,3117340408.0258546,2.6086193716112693,0,0
2025-03-14,NEAR,NEAR,147555844,3058953202.434792,2.570317584342263,0,0
2025-03-13,NEAR,NEAR,146866234,3037699707.9144,2.551841179822228,0,0
2025-03-12,NEAR,NEAR,140223170,2917433170.269747,2.448298670465794,0,0
2025-03-11,NEAR,NEAR,133167772,2733462758.750597,2.292365522045581,0,0
2025-03-10,NEAR,NEAR,143585021,3034459171.363304,2.5540037421665445,0,0
2025-03-09,NEAR,NEAR,159356562,3429169086.659287,2.8810356797285275,0,0
2025-03-08,NEAR,NEAR,160822236,3500698559.0110893,2.94370002440564,0,0
2025-03-07,NEAR,NEAR,166061064,3643863177.579726,3.06341556019784,0,0
2025-03-06,NEAR,NEAR,162849734,3571472561.75094,2.998056802687052,0,0
2025-03-05,NEAR,NEAR,154958068,3344858289.068494,2.8150975758943724,0,0
2025-03-04,NEAR,NEAR,160833280,3537567933.5061164,2.973237849941758,0,0
2025-03-03,NEAR,NEAR,183883734,4210336746.846691,3.5443109619920445,0,0
