date,tvl
2019-02-23,330720006
2019-02-24,332135496
2019-02-25,364416787
2019-02-26,309999344
2019-02-27,309159374
2019-02-28,312433597
2019-03-01,310014164
2019-03-02,314532263
2019-03-03,303624733
2019-03-04,305542360
2019-03-05,288680650
2019-03-06,295972790
2019-03-07,320109083
2019-03-08,322663487
2019-03-09,314523730
2019-03-10,324473632
2019-03-11,313835748
2019-03-12,311112410
2019-03-13,312741396
2019-03-14,307100618
2019-03-15,310006837
2019-03-16,316214758
2019-03-17,335130995
2019-03-18,334848456
2019-03-19,330615127
2019-03-20,327731262
2019-03-21,328283472
2019-03-22,325443734
2019-03-23,317895425
2019-03-24,320257354
2019-03-25,321138289
2019-03-26,315561565
2019-03-27,312363437
2019-03-28,327529273
2019-03-29,321106178
2019-03-30,330061622
2019-03-31,336188471
2019-04-01,333460244
2019-04-02,330978254
2019-04-03,361594751
2019-04-04,392932919
2019-04-05,377869512
2019-04-06,387144015
2019-04-07,386408512
2019-04-08,397314868
2019-04-09,417345266
2019-04-10,416397450
2019-04-11,426381659
2019-04-12,390404227
2019-04-13,391764521
2019-04-14,384361169
2019-04-15,384943048
2019-04-16,388146902
2019-04-17,378592405
2019-04-18,391870808
2019-04-19,398046175
2019-04-20,400802077
2019-04-21,394224277
2019-04-22,384047397
2019-04-23,391612123
2019-04-24,398974485
2019-04-25,374835374
2019-04-26,369675254
2019-04-27,353253273
2019-04-28,351397723
2019-04-29,355871416
2019-04-30,345659531
2019-05-01,360859251
2019-05-02,367995033
2019-05-03,360919179
2019-05-04,369508006
2019-05-05,364541771
2019-05-06,365556205
2019-05-07,366422292
2019-05-08,396594726
2019-05-09,376392568
2019-05-10,377496115
2019-05-11,374509695
2019-05-12,403051737
2019-05-13,407686685
2019-05-14,413872177
2019-05-15,442069803
2019-05-16,486740747
2019-05-17,492855169
2019-05-18,457487191
2019-05-19,467583200
2019-05-20,499545007
2019-05-21,489893173
2019-05-22,488358808
2019-05-23,487452839
2019-05-24,462332913
2019-05-25,487418847
2019-05-26,495186829
2019-05-27,477590555
2019-05-28,504416215
2019-05-29,492147769
2019-05-30,486895285
2019-05-31,506370689
2019-06-01,464900288
2019-06-02,490440185
2019-06-03,492316483
2019-06-04,480029529
2019-06-05,449108423
2019-06-06,450802268
2019-06-07,454782475
2019-06-08,458402698
2019-06-09,459231886
2019-06-10,448830826
2019-06-11,450039861
2019-06-12,445448012
2019-06-13,462252034
2019-06-14,473704223
2019-06-15,471947873
2019-06-16,483324308
2019-06-17,496782844
2019-06-18,500753899
2019-06-19,492451210
2019-06-20,491959839
2019-06-21,492750197
2019-06-22,530113804
2019-06-23,559048629
2019-06-24,557130391
2019-06-25,558559670
2019-06-26,556981196
2019-06-27,582321119
2019-06-28,542317702
2019-06-29,534711012
2019-06-30,530837844
2019-07-01,524027833
2019-07-02,516757057
2019-07-03,488986545
2019-07-04,518289038
2019-07-05,523478296
2019-07-06,522349436
2019-07-07,514099212
2019-07-08,521782532
2019-07-09,548619945
2019-07-10,553818430
2019-07-11,546426569
2019-07-12,491580759
2019-07-13,497840084
2019-07-14,480963478
2019-07-15,444131044
2019-07-16,443431780
2019-07-17,453116693
2019-07-18,432187195
2019-07-19,424182744
2019-07-20,424819652
2019-07-21,443007033
2019-07-22,476650085
2019-07-23,426811977
2019-07-24,400560139
2019-07-25,435689439
2019-07-26,416736741
2019-07-27,413794502
2019-07-28,400167620
2019-07-29,401701991
2019-07-30,400452930
2019-07-31,399934411
2019-08-01,408448445
2019-08-02,408498627
2019-08-03,419934153
2019-08-04,425878731
2019-08-05,420913306
2019-08-06,443573113
2019-08-07,431085094
2019-08-08,429263647
2019-08-09,423599912
2019-08-10,426731449
2019-08-11,426826739
2019-08-12,433190916
2019-08-13,436237066
2019-08-14,440607038
2019-08-15,439008344
2019-08-16,407528542
2019-08-17,407745819
2019-08-18,413126213
2019-08-19,416031742
2019-08-20,444642544
2019-08-21,439784983
2019-08-22,424737813
2019-08-23,423581431
2019-08-24,430004020
2019-08-25,428278454
2019-08-26,430880628
2019-08-27,432524674
2019-08-28,425839853
2019-08-29,436695793
2019-08-30,405559307
2019-08-31,416654693
2019-09-01,412283216
2019-09-02,412015990
2019-09-03,417855648
2019-09-04,431146020
2019-09-05,441265570
2019-09-06,428146129
2019-09-07,432653501
2019-09-08,419038442
2019-09-09,440831779
2019-09-10,444365773
2019-09-11,445425337
2019-09-12,440748361
2019-09-13,442855590
2019-09-14,448058504
2019-09-15,447662644
2019-09-16,466834224
2019-09-17,479616374
2019-09-18,493677032
2019-09-19,516413933
2019-09-20,511755631
2019-09-21,530294629
2019-09-22,526019298
2019-09-23,515842769
2019-09-24,512444032
2019-09-25,483098071
2019-09-26,423035093
2019-09-27,433728249
2019-09-28,438798959
2019-09-29,455802072
2019-09-30,447518494
2019-10-01,452169043
2019-10-02,466199993
2019-10-03,459534106
2019-10-04,460755697
2019-10-05,458425463
2019-10-06,457966120
2019-10-07,453518308
2019-10-08,456476118
2019-10-09,473870704
2019-10-10,484596374
2019-10-11,501809123
2019-10-12,492024138
2019-10-13,488756017
2019-10-14,485783196
2019-10-15,489041573
2019-10-16,492685980
2019-10-17,473007439
2019-10-18,480422179
2019-10-19,478178445
2019-10-20,480393266
2019-10-21,476807624
2019-10-22,485560835
2019-10-23,492873457
2019-10-24,509344456
2019-10-25,480895764
2019-10-26,500089501
2019-10-27,555751422
2019-10-28,573029080
2019-10-29,587041832
2019-10-30,599117000
2019-10-31,577322607
2019-11-01,548331716
2019-11-02,552348609
2019-11-03,554658280
2019-11-04,551649116
2019-11-05,591141720
2019-11-06,587964249
2019-11-07,589028134
2019-11-08,583520314
2019-11-09,594982874
2019-11-10,594585512
2019-11-11,586610792
2019-11-12,589174289
2019-11-13,603156894
2019-11-14,595694419
2019-11-15,590232145
2019-11-16,578754782
2019-11-17,558311391
2019-11-18,588596768
2019-11-19,600987498
2019-11-20,588005468
2019-11-21,604585600
2019-11-22,599783657
2019-11-23,562465653
2019-11-24,566625322
2019-11-25,571302317
2019-11-26,580979888
2019-11-27,605848069
2019-11-28,609617390
2019-11-29,655753218
2019-11-30,637340609
2019-12-01,619475538
2019-12-02,602758911
2019-12-03,594710340
2019-12-04,616514223
2019-12-05,612561105
2019-12-06,616152213
2019-12-07,609769769
2019-12-08,610889768
2019-12-09,602971721
2019-12-10,629477537
2019-12-11,615429561
2019-12-12,601189787
2019-12-13,601685647
2019-12-14,613097081
2019-12-15,604005295
2019-12-16,616835631
2019-12-17,617481952
2019-12-18,593778036
2019-12-19,557250099
2019-12-20,588757850
2019-12-21,591127127
2019-12-22,592546202
2019-12-23,599476007
2019-12-24,613267182
2019-12-25,599188584
2019-12-26,592871118
2019-12-27,590203282
2019-12-28,580878694
2019-12-29,593346741
2019-12-30,597207833
2019-12-31,609180173
2020-01-01,603193264
2020-01-02,602696674
2020-01-03,597189479
2020-01-04,605285264
2020-01-05,607193389
2020-01-06,610820377
2020-01-07,623859484
2020-01-08,611202042
2020-01-09,634092078
2020-01-10,590899599
2020-01-11,588989461
2020-01-12,611958882
2020-01-13,594343570
2020-01-14,613840778
2020-01-15,649995611
2020-01-16,710958871
2020-01-17,690305024
2020-01-18,729728410
2020-01-19,717062860
2020-01-20,711006248
2020-01-21,684534287
2020-01-22,718185953
2020-01-23,715239755
2020-01-24,702516142
2020-01-25,693795277
2020-01-26,690250396
2020-01-27,697247986
2020-01-28,723137110
2020-01-29,754159027
2020-01-30,769031780
2020-01-31,770356016
2020-02-01,782063931
2020-02-02,793026243
2020-02-03,815100626
2020-02-04,803646231
2020-02-05,796408036
2020-02-06,829420753
2020-02-07,865209398
2020-02-08,894320607
2020-02-09,900680061
2020-02-10,901706966
2020-02-11,854683057
2020-02-12,893047129
2020-02-13,972413589
2020-02-14,997429325
2020-02-15,1028951915
2020-02-16,1047855796
2020-02-17,1000728102
2020-02-18,947655421
2020-02-19,997092213
2020-02-20,969968462
2020-02-21,878340547
2020-02-22,906593013
2020-02-23,909794254
2020-02-24,936686051
2020-02-25,942510618
2020-02-26,912446477
2020-02-27,831700978
2020-02-28,823338349
2020-02-29,799079232
2020-03-01,821049791
2020-03-02,814223097
2020-03-03,805943195
2020-03-04,829866619
2020-03-05,812206214
