snapped_at,price,market_cap,total_volume
2021-12-10 00:00:00 UTC,0.029587807213287576,0.0,7211852.309481735
2021-12-11 00:00:00 UTC,0.029587807213287576,0.0,7211852.309481735
2021-12-12 00:00:00 UTC,0.03285685125844863,0.0,1892297.7001889974
2021-12-13 00:00:00 UTC,0.03890740604853137,0.0,3923509.1754853954
2021-12-14 00:00:00 UTC,0.0340933959955382,0.0,1469232.5604980306
2021-12-15 00:00:00 UTC,0.037472681730843886,0.0,777555.9948773689
2021-12-16 00:00:00 UTC,0.04707556493053315,0.0,1255726.715483324
2021-12-17 00:00:00 UTC,0.04999364813228576,0.0,1448730.3524945849
2021-12-18 00:00:00 UTC,0.05072442354173698,0.0,1090925.6117312398
2021-12-19 00:00:00 UTC,0.05569744802475924,0.0,926699.9669799301
2021-12-20 00:00:00 UTC,0.054460800417484474,0.0,594997.6832105765
2021-12-21 00:00:00 UTC,0.051846422732793704,0.0,527108.4025317341
2021-12-22 00:00:00 UTC,0.05427202227606374,0.0,649212.6069733801
2021-12-23 00:00:00 UTC,0.07073143570817085,0.0,1888492.113382682
2021-12-24 00:00:00 UTC,0.0713809457669441,0.0,2145662.777860251
2021-12-25 00:00:00 UTC,0.06681513432962549,0.0,954386.0102012467
2021-12-26 00:00:00 UTC,0.07300959214008353,0.0,407235.0969235329
2021-12-27 00:00:00 UTC,0.07447773383745875,0.0,472398.5116351874
2021-12-28 00:00:00 UTC,0.07297935571757916,0.0,495806.50563186756
2021-12-29 00:00:00 UTC,0.06773129107070301,0.0,278553.16848556674
2021-12-30 00:00:00 UTC,0.06497211379039497,0.0,179754.57744160658
2021-12-31 00:00:00 UTC,0.060124982713872135,0.0,458720.0939472155
2022-01-01 00:00:00 UTC,0.05897696892911807,0.0,156123.66846900352
2022-01-02 00:00:00 UTC,0.06695841072668104,0.0,149222.24745652173
2022-01-03 00:00:00 UTC,0.07350251507094781,0.0,431706.80753209925
2022-01-04 00:00:00 UTC,0.07425569352405224,0.0,577082.7366830346
2022-01-05 00:00:00 UTC,0.07481063944385406,0.0,475381.6289947138
2022-01-06 00:00:00 UTC,0.062076072697572884,0.0,440807.7817190629
2022-01-07 00:00:00 UTC,0.06397495045984108,0.0,237509.55774164188
2022-01-08 00:00:00 UTC,0.0563340783532616,0.0,220923.49022559458
2022-01-09 00:00:00 UTC,0.05423609555926374,0.0,275602.2327402536
2022-01-10 00:00:00 UTC,0.05541944802630098,0.0,767326.7670331955
2022-01-11 00:00:00 UTC,0.04560859592395076,0.0,1124106.4596871578
2022-01-12 00:00:00 UTC,0.04442719356987493,0.0,1374463.0596723119
2022-01-13 00:00:00 UTC,0.04700212069037599,0.0,638516.6156412346
2022-01-14 00:00:00 UTC,0.049427920265476676,0.0,465007.21984448074
2022-01-15 00:00:00 UTC,0.04811090337846282,0.0,216559.31248483286
2022-01-16 00:00:00 UTC,0.055256508030730726,0.0,847832.8445900473
2022-01-17 00:00:00 UTC,0.058239241184597855,0.0,686597.7254642338
2022-01-18 00:00:00 UTC,0.053952193752990776,0.0,330187.21515892376
2022-01-19 00:00:00 UTC,0.05479995143936699,0.0,342068.7404629785
2022-01-20 00:00:00 UTC,0.0595720820831581,0.0,918987.3004932918
2022-01-21 00:00:00 UTC,0.05330789445673238,0.0,588908.4000818122
2022-01-22 00:00:00 UTC,0.04296782712059229,0.0,739804.849034241
2022-01-23 00:00:00 UTC,0.043804720289823386,0.0,424687.4893963285
2022-01-24 00:00:00 UTC,0.04883797589483381,0.0,262072.43287496822
2022-01-25 00:00:00 UTC,0.04517347883242268,0.0,415954.95339282556
2022-01-26 00:00:00 UTC,0.0466195264544108,0.0,98835.54471492882
2022-01-27 00:00:00 UTC,0.043962899136879875,0.0,134594.51743216102
2022-01-28 00:00:00 UTC,0.04367641041783579,0.0,298773.28834147134
2022-01-29 00:00:00 UTC,0.04493077569376988,0.0,258169.5322055564
2022-01-30 00:00:00 UTC,0.045561635429499404,0.0,151659.45943305772
2022-01-31 00:00:00 UTC,0.04591042464410646,0.0,163866.3818205863
2022-02-01 00:00:00 UTC,0.04553003654258086,0.0,162084.3281918675
2022-02-02 00:00:00 UTC,0.04610818748588428,0.0,127729.69978386926
2022-02-03 00:00:00 UTC,0.04377688913013231,0.0,146336.91589257817
2022-02-04 00:00:00 UTC,0.04382746256502944,0.0,160556.2715170281
2022-02-05 00:00:00 UTC,0.04973519720854417,0.0,145318.33274171647
2022-02-06 00:00:00 UTC,0.0480471526368634,0.0,260100.6908070523
2022-02-07 00:00:00 UTC,0.046908236426147845,0.0,177262.70707293376
2022-02-08 00:00:00 UTC,0.046693847054903516,0.0,160793.78177953916
2022-02-09 00:00:00 UTC,0.042997015448422236,0.0,230036.94971077424
2022-02-10 00:00:00 UTC,0.04506377772600412,0.0,119957.04737194722
2022-02-11 00:00:00 UTC,0.03709521266469855,0.0,988494.1707594357
2022-02-12 00:00:00 UTC,0.03601125848204603,0.0,1251802.6888374987
2022-02-13 00:00:00 UTC,0.03528079326316606,0.0,387023.3203596538
2022-02-14 00:00:00 UTC,0.03316504911758212,0.0,332920.0807656764
2022-02-15 00:00:00 UTC,0.03357673879230032,0.0,185004.84779393027
2022-02-16 00:00:00 UTC,0.03519826925585253,0.0,458174.4358863968
2022-02-17 00:00:00 UTC,0.03442569600312721,0.0,379431.1738712625
2022-02-18 00:00:00 UTC,0.030550983609118072,0.0,274549.0565945692
2022-02-19 00:00:00 UTC,0.03145232023843708,0.0,409578.8570400167
2022-02-20 00:00:00 UTC,0.028759812810921312,0.0,146079.99396714938
