snapped_at,price,market_cap,total_volume
2021-04-03 00:00:00 UTC,2.1970461967231194,0.0,41304402.6533591
2021-04-04 00:00:00 UTC,2.1970461967231194,0.0,41304402.6533591
2021-04-05 00:00:00 UTC,1.859146067497707,0.0,17593117.974265642
2021-04-06 00:00:00 UTC,1.80509309116392,0.0,18632686.610180195
2021-04-07 00:00:00 UTC,1.8764120274676133,0.0,20714200.05819172
2021-04-08 00:00:00 UTC,1.7986281207337738,68930815.74198928,17696811.439703964
2021-04-09 00:00:00 UTC,2.0394085995466633,75658382.42005295,17131665.84918832
2021-04-10 00:00:00 UTC,1.7825993008113223,97071450.96506238,12106052.889004163
2021-04-11 00:00:00 UTC,1.6881922829771818,90637362.36033382,6147618.642036324
2021-04-12 00:00:00 UTC,1.5703562757448253,83705196.04726018,6650086.633095725
2021-04-13 00:00:00 UTC,1.7709992449616097,95024982.88137281,7944267.1965212645
2021-04-14 00:00:00 UTC,1.5553030103649794,82652674.26863691,6853218.825636897
2021-04-15 00:00:00 UTC,1.3819710128984886,73266849.51086338,7876509.7071580095
2021-04-16 00:00:00 UTC,1.4277589359227887,77068545.75574443,4179892.845769239
2021-04-17 00:00:00 UTC,1.1773697083820764,62852554.74809883,5755489.31200884
2021-04-18 00:00:00 UTC,1.179323145249058,63799743.106309414,3567887.8993424266
2021-04-19 00:00:00 UTC,1.1525328916958024,61813504.9227947,4847924.321818432
2021-04-20 00:00:00 UTC,1.0701787301207988,57545824.8924366,5266850.982029077
2021-04-21 00:00:00 UTC,1.0767681323368588,57884489.58666823,4591752.32914306
2021-04-22 00:00:00 UTC,1.0210380906896255,54805639.16361416,5116885.395001272
2021-04-23 00:00:00 UTC,1.027431104020129,55214918.3965899,4244214.538856834
2021-04-24 00:00:00 UTC,1.324360182547456,70832089.81574161,6809599.783997668
2021-04-25 00:00:00 UTC,1.2618264245684159,68167687.98544794,4476348.607064049
2021-04-26 00:00:00 UTC,1.1679719707219274,62304157.187036306,2562502.3961447165
2021-04-27 00:00:00 UTC,1.2707371644688372,67594962.84533922,3504439.9905764875
2021-04-28 00:00:00 UTC,1.277867821884474,68273217.32298389,3240779.7283043615
2021-04-29 00:00:00 UTC,1.0852037056041963,58044176.45226612,1878975.7577741202
2021-04-30 00:00:00 UTC,1.2076385896895998,64613568.88008792,3293107.4082476106
2021-05-01 00:00:00 UTC,1.4074927268308919,75077850.17727926,4706077.035910723
2021-05-02 00:00:00 UTC,1.3319858584628856,74764640.84014429,4046580.5165289133
2021-05-03 00:00:00 UTC,1.15750616685001,69106280.00823699,5869768.806686801
2021-05-04 00:00:00 UTC,1.2439695459854683,74330580.56825884,6165997.251794896
2021-05-05 00:00:00 UTC,1.0200972723023807,61982761.61958511,3431211.416916058
2021-05-06 00:00:00 UTC,1.0082767155526928,60532384.60584501,4129826.522912996
2021-05-07 00:00:00 UTC,1.004449121154775,60594112.550130576,2841470.1395704444
2021-05-08 00:00:00 UTC,0.988805420114287,59748626.93215073,3157570.1289979154
2021-05-09 00:00:00 UTC,0.9863710528366036,59627274.88124405,1022589.1874000991
2021-05-10 00:00:00 UTC,1.01453837464657,60484632.63580376,764115.2396340597
