snapped_at,price,market_cap,total_volume
2020-10-06 00:00:00 UTC,1.5375365564721775,0.0,1047493.5156084622
2020-10-07 00:00:00 UTC,1.5375365564721775,0.0,1047493.5156084622
2020-10-08 00:00:00 UTC,1.5185239946097628,0.0,1289920.820750793
2020-10-09 00:00:00 UTC,1.5289186253320284,0.0,854997.5439119834
2020-10-10 00:00:00 UTC,1.4190715029688097,0.0,610411.5335293955
2020-10-11 00:00:00 UTC,1.33200104056787,0.0,481170.24140693364
2020-10-12 00:00:00 UTC,1.3472928771908217,0.0,653190.1814148067
2020-10-13 00:00:00 UTC,1.3327180948661606,0.0,325504.5253477091
2020-10-14 00:00:00 UTC,1.4230600396400066,0.0,760026.5771823423
2020-10-15 00:00:00 UTC,1.438454397044227,0.0,977175.5270718671
2020-10-16 00:00:00 UTC,1.4141944791569996,0.0,927776.2983016538
2020-10-17 00:00:00 UTC,1.4174489509637374,0.0,921206.1845013667
2020-10-18 00:00:00 UTC,1.436789934474559,0.0,856356.6493213102
2020-10-19 00:00:00 UTC,1.4315461961828269,0.0,824690.1189843016
2020-10-20 00:00:00 UTC,1.4814493463042793,0.0,604088.9614782452
2020-10-21 00:00:00 UTC,1.5229528248446442,0.0,547595.9978191683
2020-10-22 00:00:00 UTC,1.3940851069237556,0.0,418333.29993037885
2020-10-23 00:00:00 UTC,1.3262844228359014,0.0,408250.65616226726
2020-10-24 00:00:00 UTC,1.1093404072058153,0.0,333874.7999287213
2020-10-25 00:00:00 UTC,1.0420848220118917,0.0,278652.9738507728
2020-10-26 00:00:00 UTC,1.0646735432316552,0.0,255874.36106639152
2020-10-27 00:00:00 UTC,0.9038221221397075,0.0,260294.93107083967
2020-10-28 00:00:00 UTC,0.8994091038139181,0.0,251829.8828428169
2020-10-29 00:00:00 UTC,0.7986953257803217,0.0,249816.74970753086
2020-10-30 00:00:00 UTC,0.7661805926710288,0.0,232185.81352923714
2020-10-31 00:00:00 UTC,0.7267208736734552,0.0,220197.30526763998
2020-11-01 00:00:00 UTC,0.7286227146911314,0.0,237496.62773678
2020-11-02 00:00:00 UTC,0.7647673837659558,0.0,259002.64141854833
2020-11-03 00:00:00 UTC,0.7678896108706135,0.0,239197.67521736497
2020-11-04 00:00:00 UTC,0.7583986156694406,0.0,221099.05447089067
2020-11-05 00:00:00 UTC,0.7379834382934765,0.0,205312.44097922413
2020-11-06 00:00:00 UTC,0.7505359436890092,0.0,237539.32157917527
2020-11-07 00:00:00 UTC,0.70244692586128,0.0,223266.97566281373
2020-11-08 00:00:00 UTC,0.7191045683668567,0.0,211613.68693852864
2020-11-09 00:00:00 UTC,0.7158228753783149,0.0,206128.8545402132
