date,tvl
2022-01-27,152600652
2022-01-28,153585666
2022-01-29,155639124
2022-01-30,160414707
2022-01-31,152934151
2022-02-01,160147371
2022-02-02,164841541
2022-02-03,154648947
2022-02-04,153639635
2022-02-05,170092425
2022-02-06,175410039
2022-02-07,177794123
2022-02-08,186297639
2022-02-09,184092695
2022-02-10,185519045
2022-02-11,177807450
2022-02-12,167190026
2022-02-13,167694074
2022-02-14,164328268
2022-02-15,166488966
2022-02-16,175733426
2022-02-17,173939465
2022-02-18,165188306
2022-02-19,162038932
2022-02-20,160271898
2022-02-21,153939865
2022-02-22,146395988
2022-02-23,150373973
2022-02-24,146874694
2022-02-25,147404275
2022-02-26,153616090
2022-02-27,156155694
2022-02-28,149037350
2022-03-01,167210320
2022-03-02,187457306
2022-03-03,189373816
2022-03-04,187497423
2022-03-05,180580431
2022-03-06,182515972
2022-03-07,178184515
2022-03-08,173207565
2022-03-09,174439291
2022-03-10,196553482
2022-03-11,193531166
2022-03-12,208473203
2022-03-13,227070514
2022-03-14,226451178
2022-03-15,251546810
2022-03-16,257645603
2022-03-17,265944230
2022-03-18,284299082
2022-03-19,305233850
2022-03-20,310058521
2022-03-21,307118692
2022-03-22,315562520
2022-03-23,318891374
2022-03-24,323327362
2022-03-25,321019813
2022-03-26,375966864
2022-03-27,420859165
2022-03-28,456468457
2022-03-29,457825351
2022-03-30,511298712
2022-03-31,517058729
2022-04-01,514232148
2022-04-02,546437336
2022-04-03,538492050
2022-04-04,532179508
2022-04-05,535285281
2022-04-06,542482928
2022-04-07,493382391
2022-04-08,497713770
2022-04-09,468128612
2022-04-10,490769276
2022-04-11,481519570
2022-04-12,422933182
2022-04-13,424348883
2022-04-14,461276226
2022-04-15,451710327
2022-04-16,462776698
2022-04-17,451837130
2022-04-18,444638865
2022-04-19,465942233
2022-04-20,490551965
2022-04-21,493787835
2022-04-22,480712633
2022-04-23,478703415
2022-04-24,465394148
2022-04-25,453242699
2022-04-26,481319049
2022-04-27,451884347
2022-04-28,457284055
2022-04-29,458952738
2022-04-30,432175680
2022-05-01,403245083
2022-05-02,416165077
2022-05-03,414709112
2022-05-04,403075124
2022-05-05,439036941
2022-05-06,411094086
2022-05-07,401654003
2022-05-08,381613605
2022-05-09,372408674
2022-05-10,311672933
2022-05-11,296879560
2022-05-12,241884112
2022-05-13,219774874
2022-05-14,234694349
2022-05-15,235966584
2022-05-16,245002478
2022-05-17,232010205
2022-05-21,0
2022-05-22,0
2022-05-23,0
2022-05-24,0
2022-05-25,0
2022-05-26,0
2022-05-27,0
2022-05-28,0
2022-05-29,0
2022-05-30,0
2022-05-31,0
2022-06-01,0
2022-06-02,0
2022-06-03,0
2022-06-04,0
2022-06-05,0
2022-06-06,0
2022-06-07,0
2022-06-08,0
2022-06-09,0
2022-06-10,0
2022-06-11,0
2022-06-12,0
2022-06-13,0
2022-06-14,0
2022-06-15,0
2022-06-16,0
2022-06-17,0
2022-06-18,0
2022-06-19,0
2022-06-20,0
2022-06-21,0
2022-06-22,0
2022-06-23,0
2022-06-24,0
2022-06-25,0
2022-06-26,0
2022-06-27,0
2022-06-28,0
2022-06-29,0
2022-06-30,0
2022-07-26,142595939
2022-07-27,142595939
2022-07-28,157471583
2022-07-29,166700732
2022-07-30,165063485
2022-07-31,162659949
2022-08-01,161158978
2022-08-02,158251292
2022-08-03,156011885
2022-08-04,161939550
2022-08-05,158543712
2022-08-06,165138303
2022-08-07,161151513
2022-08-08,165398805
2022-08-09,169349674
2022-08-10,160878923
2022-08-11,171867309
2022-08-12,170753984
2022-08-13,174798484
2022-08-14,173583318
2022-08-15,170874798
2022-08-16,166178807
2022-08-17,163998045
2022-08-18,157762124
2022-08-19,150069372
2022-08-20,137384855
2022-08-21,135967926
2022-08-22,138884324
2022-08-23,137592444
2022-08-24,138870682
2022-08-25,141168440
2022-08-26,140812705
2022-08-27,129766834
2022-08-28,128824769
2022-08-29,124258185
2022-08-30,129992576
2022-08-31,128872955
2022-09-01,128756778
2022-09-02,129195241
2022-09-03,129210965
2022-09-04,127673371
2022-09-05,128756542
2022-09-06,129976585
2022-09-07,120855480
2022-09-08,123688771
2022-09-09,124863197
2022-09-10,132751599
2022-09-11,134503032
2022-09-12,131881605
2022-09-13,130110678
2022-09-14,118834145
2022-09-15,119512160
2022-09-16,115744377
2022-09-17,116196592
2022-09-18,117158500
2022-09-19,112037323
2022-09-20,111659839
2022-09-21,108703835
2022-09-22,104838095
2022-09-23,108813723
2022-09-24,108690246
2022-09-25,108510015
2022-09-26,106587215
2022-09-27,108609142
2022-09-28,107118857
2022-09-29,105604507
2022-09-30,106269093
2022-10-01,105887033
2022-10-02,104285823
2022-10-03,102379380
2022-10-04,106710506
2022-10-05,109315547
2022-10-06,110366702
2022-10-07,108480037
2022-10-08,106663884
2022-10-09,105133416
2022-10-10,106547338
2022-10-11,102670933
2022-10-12,103068620
2022-10-13,102597133
2022-10-14,101683506
2022-10-15,100554904
2022-10-16,100148348
2022-10-17,101167712
2022-10-18,103572402
2022-10-19,100977674
2022-10-20,98613426
2022-10-21,98570022
2022-10-22,99261924
2022-10-23,99557242
2022-10-24,101839095
2022-10-25,100296960
2022-10-26,104107832
2022-10-27,107589212
2022-10-28,104771392
2022-10-29,106967339
2022-10-30,108672513
2022-10-31,108570325
2022-11-01,109204356
2022-11-02,109406828
2022-11-03,103836936
2022-11-04,104098473
2022-11-05,111339742
2022-11-06,111391181
2022-11-07,108864167
2022-11-08,108267973
2022-11-09,92904663
2022-11-10,75706935
2022-11-11,84349789
2022-11-12,81072661
2022-11-13,79975865
2022-11-14,79375373
2022-11-15,82469620
2022-11-16,82469620
2022-11-17,83746425
